0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:06 +0530] "POST /ManuringIt/CropInputs HTTP/1.1" 200 6567
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:47 +0530] "POST /ManuringIt/CropInputStore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:47 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:47 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:50 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7887
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:06 +0530] "POST /ManuringIt/UpdateSales HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:06 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7890
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:18 +0530] "POST /ManuringIt/UpdateSales HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:18 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7888
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:20 +0530] "POST /ManuringIt/UpdateSales HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:20 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7900
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:27 +0530] "POST /ManuringIt/UpdateSales HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:27 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:31 +0530] "GET /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:33 +0530] "GET /ManuringIt/FarmInput HTTP/1.1" 200 5431
